1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MAR,A,ABBV,ACGL,ADP,AMGN,BIIB,CAG,CAH,CI,CLX,CPB,FSLR,GIS,MCK
AFL,AIZ,ADM,COR,ON,REGN,,,LW,LMT,,INCY,MRK,K,
AJG,AMT,AEP,PSX,PFG,,,,PGR,,,,,,
BA,APTV,CF,GWW,RJF,,,,GILD,,,,,,
CCL,ARE,DLTR,LLY,RTX,,,,,,,,,,
DAL,BAX,DVN,MPC,WMB,,,,,,,,,,
HWM,DE,ETR,SMCI,FANG,,,,,,,,,,
IRM,DGX,HSY,PCG,FE,,,,,,,,,,
IT,DHR,MOS,,HAL,,,,,,,,,,
MDLZ,DOC,PEP,,KMI,,,,,,,,,,
MSI,DOW,SJM,,NI,,,,,,,,,,
NCLH,EL,ALB,,PXD,,,,,,,,,,
OMC,EMN,CMS,,TRGP,,,,,,,,,,
PWR,EPAM,CNC,,ULTA,,,,,,,,,,
RL,EW,KDP,,WRB,,,,,,,,,,
SPG,FCX,PFE,,BG,,,,,,,,,,
TAP,GEN,ELV,,CMA,,,,,,,,,,
WAB,GLW,EXC,,FDS,,,,,,,,,,
EG,GNRC,GPC,,MET,,,,,,,,,,
GL,IEX,KO,,PAYX,,,,,,,,,,
HII,IFF,APA,,PSA,,,,,,,,,,
UAL,KHC,NOC,,RF,,,,,,,,,,
CBOE,LOW,SRE,,TSN,,,,,,,,,,
IBM,MMM,BDX,,,,,,,,,,,,
PANW,MOH,EVRG,,,,,,,,,,,,
RCL,MRNA,MTB,,,,,,,,,,,,
AAL,MTD,O,,,,,,,,,,,,
HPE,NDAQ,SO,,,,,,,,,,,,
RSG,NKE,UNH,,,,,,,,,,,,
AIG,NSC,AEE,,,,,,,,,,,,
DRI,PARA,AMCR,,,,,,,,,,,,
HIG,PG,CVS,,,,,,,,,,,,
L,PLD,KR,,,,,,,,,,,,
MCD,POOL,VICI,,,,,,,,,,,,
MMC,QCOM,CHRW,,,,,,,,,,,,
WELL,RVTY,ENPH,,,,,,,,,,,,
YUM,STE,FMC,,,,,,,,,,,,
AMP,TDY,WEC,,,,,,,,,,,,
HLT,TECH,XEL,,,,,,,,,,,,
MLM,TGT,DTE,,,,,,,,,,,,
NRG,TMO,LHX,,,,,,,,,,,,
ORCL,TRMB,PM,,,,,,,,,,,,
SNA,TSLA,HSIC,,,,,,,,,,,,
UHS,TXN,SYY,,,,,,,,,,,,
VMC,UPS,DUK,,,,,,,,,,,,
OKE,ZBRA,EXR,,,,,,,,,,,,
ANET,AVY,D,,,,,,,,,,,,
BSX,BAC,BMY,,,,,,,,,,,,
REG,BBWI,DG,,,,,,,,,,,,
WFC,BWA,ES,,,,,,,,,,,,
WM,BX,COP,,,,,,,,,,,,
ORLY,CBRE,CVX,,,,,,,,,,,,
PNW,CFG,ED,,,,,,,,,,,,
CB,COF,EOG,,,,,,,,,,,,
FRT,CSX,MRO,,,,,,,,,,,,
HST,CTSH,OXY,,,,,,,,,,,,
JNPR,CZR,ATO,,,,,,,,,,,,
NUE,DOV,AZO,,,,,,,,,,,,
TRV,FFIV,HES,,,,,,,,,,,,
VTR,GM,VLO,,,,,,,,,,,,
ALL,GS,XOM,,,,,,,,,,,,
AXP,HAS,CTRA,,,,,,,,,,,,
BEN,HON,EQT,,,,,,,,,,,,
BK,INVH,EIX,,,,,,,,,,,,
CME,IP,HRL,,,,,,,,,,,,
COST,IQV,JKHY,,,,,,,,,,,,
CSCO,IVZ,HUM,,,,,,,,,,,,
DD,J,,,,,,,,,,,,,
HCA,JBHT,,,,,,,,,,,,,
TXT,JCI,,,,,,,,,,,,,
PRU,KEY,,,,,,,,,,,,,
TPR,LH,,,,,,,,,,,,,
AON,LUV,,,,,,,,,,,,,
CINF,MHK,,,,,,,,,,,,,
KIM,MS,,,,,,,,,,,,,
MGM,NTRS,,,,,,,,,,,,,
BKR,PNC,,,,,,,,,,,,,
CNP,RHI,,,,,,,,,,,,,
GD,STT,,,,,,,,,,,,,
EQR,STX,,,,,,,,,,,,,
F,TEL,,,,,,,,,,,,,
FOX,TFC,,,,,,,,,,,,,
FOXA,TSCO,,,,,,,,,,,,,
HBAN,UNP,,,,,,,,,,,,,
MO,WAT,,,,,,,,,,,,,
PEG,WY,,,,,,,,,,,,,
PPL,ABT,,,,,,,,,,,,,
UDR,AWK,,,,,,,,,,,,,
SLB,BIO,,,,,,,,,,,,,
STLD,CCI,,,,,,,,,,,,,
JBL,CTLT,,,,,,,,,,,,,
WYNN,ETSY,,,,,,,,,,,,,
BLDR,PAYC,,,,,,,,,,,,,
